match_id,date,home_team,away_team,odds_home,odds_draw,odds_away,bookmaker
2025-08-15_Liverpool-Bournemouth,2025-08-15,Liverpool,Bournemouth,1.28,6.56,9.07,Pinnacle
2025-08-16_AstonVilla-Newcastle,2025-08-16,Aston Villa,Newcastle,2.24,3.72,3.13,Pinnacle
2025-08-16_Brighton-Fulham,2025-08-16,Brighton,Fulham,1.94,3.73,3.98,Pinnacle
2025-08-16_Sunderland-WestHam,2025-08-16,Sunderland,West Ham,3.27,3.43,2.29,Pinnacle
2025-08-16_Tottenham-Burnley,2025-08-16,Tottenham,Burnley,1.4,4.71,8.79,Pinnacle
2025-08-16_Wolves-ManCity,2025-08-16,Wolves,Man City,6.72,4.92,1.46,Pinnacle
2025-08-17_Chelsea-CrystalPalace,2025-08-17,Chelsea,Crystal Palace,1.66,4.12,5.25,Pinnacle
2025-08-17_Nott'mForest-Brentford,2025-08-17,Nott'm Forest,Brentford,2.25,3.38,3.4,Pinnacle
2025-08-17_ManUnited-Arsenal,2025-08-17,Man United,Arsenal,3.74,3.72,2.01,Pinnacle
2025-08-18_Leeds-Everton,2025-08-18,Leeds,Everton,2.37,3.52,3.06,Pinnacle
2025-08-22_WestHam-Chelsea,2025-08-22,West Ham,Chelsea,4.94,3.95,1.74,Pinnacle
2025-08-23_ManCity-Tottenham,2025-08-23,Man City,Tottenham,1.49,5.0,6.01,Pinnacle
2025-08-23_Bournemouth-Wolves,2025-08-23,Bournemouth,Wolves,1.79,3.98,4.4,Pinnacle
2025-08-23_Brentford-AstonVilla,2025-08-23,Brentford,Aston Villa,3.26,3.49,2.27,Pinnacle
2025-08-23_Burnley-Sunderland,2025-08-23,Burnley,Sunderland,2.21,3.26,3.63,Pinnacle
2025-08-23_Arsenal-Leeds,2025-08-23,Arsenal,Leeds,1.28,6.21,9.68,Pinnacle
2025-08-24_CrystalPalace-Nott'mForest,2025-08-24,Crystal Palace,Nott'm Forest,2.41,3.25,3.22,Pinnacle
2025-08-24_Everton-Brighton,2025-08-24,Everton,Brighton,3.16,3.36,2.38,Pinnacle
2025-08-24_Fulham-ManUnited,2025-08-24,Fulham,Man United,3.3,3.54,2.23,Pinnacle
2025-08-25_Newcastle-Liverpool,2025-08-25,Newcastle,Liverpool,3.29,3.92,2.11,Pinnacle
2025-08-30_Chelsea-Fulham,2025-08-30,Chelsea,Fulham,1.57,4.37,5.75,Pinnacle
2025-08-30_ManUnited-Burnley,2025-08-30,Man United,Burnley,1.36,5.39,8.45,Pinnacle
2025-08-30_Sunderland-Brentford,2025-08-30,Sunderland,Brentford,3.03,3.24,2.53,Pinnacle
2025-08-30_Tottenham-Bournemouth,2025-08-30,Tottenham,Bournemouth,1.76,4.14,4.39,Pinnacle
2025-08-30_Wolves-Everton,2025-08-30,Wolves,Everton,2.74,3.23,2.79,Pinnacle
2025-08-30_Leeds-Newcastle,2025-08-30,Leeds,Newcastle,3.47,3.54,2.16,Pinnacle
2025-08-31_Brighton-ManCity,2025-08-31,Brighton,Man City,3.92,3.89,1.91,Pinnacle
2025-08-31_Nott'mForest-WestHam,2025-08-31,Nott'm Forest,West Ham,1.69,3.98,5.13,Pinnacle
2025-08-31_Liverpool-Arsenal,2025-08-31,Liverpool,Arsenal,2.27,3.47,3.28,Pinnacle
2025-08-31_AstonVilla-CrystalPalace,2025-08-31,Aston Villa,Crystal Palace,1.9,3.69,4.21,Pinnacle
2025-09-13_Arsenal-Nott'mForest,2025-09-13,Arsenal,Nott'm Forest,1.38,5.25,8.14,Pinnacle
2025-09-13_Bournemouth-Brighton,2025-09-13,Bournemouth,Brighton,2.4,3.57,2.98,Pinnacle
2025-09-13_CrystalPalace-Sunderland,2025-09-13,Crystal Palace,Sunderland,1.69,3.77,5.51,Pinnacle
2025-09-13_Everton-AstonVilla,2025-09-13,Everton,Aston Villa,2.46,3.41,3.01,Pinnacle
2025-09-13_Fulham-Leeds,2025-09-13,Fulham,Leeds,1.99,3.56,3.99,Pinnacle
2025-09-13_Newcastle-Wolves,2025-09-13,Newcastle,Wolves,1.43,4.93,7.21,Pinnacle
2025-09-13_WestHam-Tottenham,2025-09-13,West Ham,Tottenham,3.55,3.62,2.1,Pinnacle
2025-09-13_Brentford-Chelsea,2025-09-13,Brentford,Chelsea,4.63,3.95,1.76,Pinnacle
2025-09-14_Burnley-Liverpool,2025-09-14,Burnley,Liverpool,9.0,5.44,1.34,Pinnacle
2025-09-14_ManCity-ManUnited,2025-09-14,Man City,Man United,1.8,4.0,4.33,Pinnacle
2025-09-20_Liverpool-Everton,2025-09-20,Liverpool,Everton,1.45,4.7,7.25,Pinnacle
2025-09-20_Brighton-Tottenham,2025-09-20,Brighton,Tottenham,2.28,3.67,3.1,Pinnacle
2025-09-20_Burnley-Nott'mForest,2025-09-20,Burnley,Nott'm Forest,3.43,3.47,2.2,Pinnacle
2025-09-20_WestHam-CrystalPalace,2025-09-20,West Ham,Crystal Palace,3.09,3.39,2.41,Pinnacle
2025-09-20_Wolves-Leeds,2025-09-20,Wolves,Leeds,2.78,3.21,2.76,Pinnacle
2025-09-20_ManUnited-Chelsea,2025-09-20,Man United,Chelsea,2.71,3.74,2.52,Pinnacle
2025-09-20_Fulham-Brentford,2025-09-20,Fulham,Brentford,2.05,3.44,3.92,Pinnacle
2025-09-21_Bournemouth-Newcastle,2025-09-21,Bournemouth,Newcastle,2.47,3.57,2.87,Pinnacle
2025-09-21_Sunderland-AstonVilla,2025-09-21,Sunderland,Aston Villa,3.71,3.37,2.14,Pinnacle
2025-09-21_Arsenal-ManCity,2025-09-21,Arsenal,Man City,1.92,3.8,3.99,Pinnacle
2025-09-27_Brentford-ManUnited,2025-09-27,Brentford,Man United,3.47,3.79,2.07,Pinnacle
2025-09-27_Chelsea-Brighton,2025-09-27,Chelsea,Brighton,1.9,3.86,3.98,Pinnacle
2025-09-27_CrystalPalace-Liverpool,2025-09-27,Crystal Palace,Liverpool,3.93,3.73,1.95,Pinnacle
2025-09-27_Leeds-Bournemouth,2025-09-27,Leeds,Bournemouth,2.99,3.32,2.51,Pinnacle
2025-09-27_ManCity-Burnley,2025-09-27,Man City,Burnley,1.17,8.36,14.45,Pinnacle
2025-09-27_Nott'mForest-Sunderland,2025-09-27,Nott'm Forest,Sunderland,1.78,3.82,4.76,Pinnacle
